
Lecture	Last viewed at
Leaning attack lecture 1	October 10, 2013 at 08:13
Trick moves lecture 2	October 10, 2013 at 07:39
Joseki for beginners lecture 13	October 9, 2013 at 21:42
Step by step course lesson 12	September 30, 2013 at 09:11
Opening Training A 2	September 26, 2013 at 05:30
Opening Training A 1	September 26, 2013 at 05:15
Star Josekis Lecture 3	September 26, 2013 at 03:43
All about the star-point lecture 3	September 26, 2013 at 02:26
Joseki for beginners lecture 12	September 20, 2013 at 21:53
Joseki for beginners lecture 10	September 20, 2013 at 21:53
Joseki for beginners lecture 9	September 20, 2013 at 21:35
Joseki for beginners lecture 8	September 20, 2013 at 18:31
Joseki for beginners lecture 7	September 20, 2013 at 18:11
Joseki for beginners lecture 6	September 20, 2013 at 17:47
Joseki for beginners lecture 5	September 19, 2013 at 20:10
Joseki for beginners lecture 4	September 19, 2013 at 19:25
Joseki for beginners lecture 3	September 19, 2013 at 17:32
Joseki for beginners lecture 2	September 18, 2013 at 21:59
Joseki for beginners lecture 1	September 17, 2013 at 17:21
Joseki for beginners lecture 11	September 17, 2013 at 16:56
Ten proverbs of Go lecture 3	August 27, 2013 at 21:41
Invasion for kyu players - 1	August 19, 2013 at 09:24
Common Opening Lecture 1	August 18, 2013 at 19:21
Go Seigen game 8_A	August 9, 2013 at 10:12
MiddleGameTraining-B-3	July 27, 2013 at 06:03
MiddleGameTraining-B-2	July 27, 2013 at 06:03
Basic shapes lecture 4	July 21, 2013 at 12:11
Typical mistakes by Young Sun Yoon 8p - 4	July 20, 2013 at 11:34
Value Of Stones lecture 7	July 19, 2013 at 10:06
Direction-trick moves in the opening_11	July 17, 2013 at 10:00
MiddleGameTraining-B-1	July 16, 2013 at 17:28
MiddleGameTraining-A-5	July 8, 2013 at 21:48
The 9th ChunLan Cup finals game 2	July 6, 2013 at 22:11
The 9th ChunLan Cup finals game 3	July 6, 2013 at 21:03
Guo Juan's workshop lecture 8_A	July 5, 2013 at 10:50
MiddleGameTraining-A-4	July 1, 2013 at 21:45
MiddleGameTraining-A-3	June 29, 2013 at 01:50
Invasion Ideas Lecture 3	June 27, 2013 at 21:37
MiddleGameTraining-A-2	June 22, 2013 at 04:50
MiddleGameTraining-A-1	June 21, 2013 at 08:51
Lunch Special Lecture 21	June 20, 2013 at 22:48
Value Of Stones lecture 4	June 14, 2013 at 01:50
Value Of Stones lecture 3	June 14, 2013 at 01:29
Value Of Stones lecture 2	June 13, 2013 at 05:41
Value Of Stones lecture 1	June 13, 2013 at 01:54
Lunch Special Lecture 2	June 12, 2013 at 17:31
Lunch Special Lecture 1	June 12, 2013 at 17:18
Direction-trick moves in the opening_3	June 12, 2013 at 07:06
Direction-trick moves in the opening_2	June 11, 2013 at 17:30
Direction-trick moves in the opening_1	June 11, 2013 at 08:57
Chinese Opening 2	June 10, 2013 at 21:42
Guo Juan's workshop lecture 7	June 10, 2013 at 09:00
Chinese Opening 1	June 8, 2013 at 08:57
Empty Triangle Lecture 1	June 3, 2013 at 18:03
All about the 3-4 point Lecture 1	June 3, 2013 at 18:02
POM - Middle game lecture 2	June 2, 2013 at 17:22
POM - Middle game lecture 1	June 2, 2013 at 09:47
Monkey Jump lecture 1	June 2, 2013 at 05:44
Efficiency for 30k - 10k lecture 3	June 1, 2013 at 10:20
7th Ing Cup finals game 4_B	June 1, 2013 at 05:50
To Attack or to Kill - Lecture 2	June 1, 2013 at 05:33
To Attack or to Kill? - lecture 1	May 31, 2013 at 00:16
Lunch Special Lecture 19_B	May 30, 2013 at 21:38
Lunch Special Lecture 19_A	May 30, 2013 at 05:17
Invasion Ideas Lecture 2	May 29, 2013 at 21:43
Double atari lecture 1	May 29, 2013 at 10:15
14th NongShim Cup game 14	May 29, 2013 at 09:59
14th NongShim Cup game 11	May 29, 2013 at 09:21
Lunch Special Lecture 20	May 29, 2013 at 09:05
14th NongShim Cup game 13	May 28, 2013 at 17:48
Dai JunFu's Class 16	May 28, 2013 at 09:13
Dai JunFu's Class 17	May 28, 2013 at 08:51
